demand_id,vehicle_id,vehicle_no,depot,request_time,assigned_time,pickup_time,dropoff_time,call_waiting_time,pickup_waiting_time,service_travel_time,total_trip_time,work_start,work_end,actual_work_hours,pickup_node_id,dropoff_node_id,pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_depot_name,dropoff_depot_name
PREV_DAY_22_16_2300,16,76보5227,봉담차고지,23:00:00,,,01:02:00,0.0,0.0,0.0,122.0,21:00:00,06:00:00,7.0,,,,,,,,
PREV_DAY_22_26_2300,26,70보5630,남양차고지,23:00:00,,,01:02:00,0.0,0.0,0.0,122.0,21:00:00,06:00:00,8.0,,,,,,,,
PREV_DAY_22_42_2300,42,714머8671,향남차고지,23:00:00,,,01:02:00,0.0,0.0,0.0,122.0,21:00:00,06:00:00,8.0,,,,,,,,
CL0000002333_june23_004,61,728루4736,봉담차고지,06:01:34,06:01:34,06:21:35,07:11:28,0.0,20.016666666666666,49.88333333333333,69.9,06:00:00,15:00:00,8.5,211927.0,329781.0,126.960830905064,37.21434046166237,127.04353616741344,37.21542089963416,봉담차고지,병점차고지
CL0000051239_june23_015,30,70우6250,동탄차고지,07:11:26,07:11:26,07:17:11,07:24:40,0.0,5.75,7.483333333333333,13.233333333333333,06:00:00,15:00:00,8.5,331148.0,329971.0,127.0796456964893,37.21713985119504,127.05761867871256,37.212623512409394,동탄차고지,동탄차고지
CL0000000856_june23_008,39,714머8653,동탄차고지,07:00:05,07:00:05,07:03:51,07:31:54,0.0,3.7666666666666666,28.05,31.816666666666666,06:00:00,15:00:00,8.0,329852.0,337479.0,127.07265088363738,37.19486211967263,127.1036398006444,37.40242741538236,동탄차고지,
CL0000038494_june23_010,61,728루4736,봉담차고지,07:00:14,07:11:28,07:24:30,07:35:21,11.233333333333333,13.033333333333333,10.85,35.11666666666667,06:00:00,15:00:00,8.5,329496.0,330973.0,127.07201251232593,37.20515962086177,127.06033944594466,37.17217122280663,동탄차고지,
CL0000048580_june23_012,12,76보5210,향남차고지,07:00:52,07:00:52,07:16:43,07:36:09,0.0,15.85,19.433333333333334,35.28333333333333,06:00:00,15:00:00,8.5,196391.0,210937.0,126.82273105965524,37.08820229579084,126.91479549580048,37.12589877027646,향남차고지,향남차고지
CL0000026760_june23_007,27,70보5604,동탄차고지,07:00:05,07:00:05,07:12:34,07:38:18,0.0,12.483333333333333,25.733333333333334,38.21666666666667,06:00:00,15:00:00,8.0,212126.0,336564.0,126.96886808501388,37.21703837628407,127.11484300604116,37.35967096976985,봉담차고지,
CL0000006836_june23_009,46,728루4752,향남차고지,07:00:12,07:00:12,07:16:29,07:38:46,0.0,16.283333333333335,22.283333333333335,38.56666666666667,06:00:00,15:00:00,8.0,604613.0,604668.0,126.83015572383589,37.21495263040702,126.81300887795982,37.29997177301625,남양차고지,
CL0000002389_june23_005,51,728루4756,병점차고지,06:40:04,06:40:04,07:27:51,07:46:13,0.0,47.78333333333333,18.366666666666667,66.15,06:00:00,15:00:00,8.0,582050.0,581955.0,126.95810432760872,37.21883813192343,126.92153069647748,37.13715391512689,봉담차고지,향남차고지
CL0000007442_june23_017,47,728루4759,향남차고지,07:15:00,07:15:00,07:27:24,07:49:18,0.0,12.4,21.9,34.3,06:00:00,15:00:00,8.0,211802.0,587156.0,126.94822475020818,37.2237861323631,127.11234935773145,37.16146526008021,봉담차고지,동탄차고지
CL0000001467_june23_002,23,70보5601,향남차고지,05:01:34,06:00:00,07:31:53,07:53:16,58.43333333333333,91.88333333333334,21.383333333333333,171.7,06:00:00,15:00:00,8.5,211121.0,605497.0,126.99601597197126,37.09442771675607,126.91095433254176,37.11303819227389,향남차고지,향남차고지
CL0000006025_june23_022,30,70우6250,동탄차고지,07:30:21,07:30:21,07:32:46,07:59:11,0.0,2.4166666666666665,26.416666666666668,28.833333333333332,06:00:00,15:00:00,8.5,614352.0,553210.0,127.12341336021288,37.16661164391269,126.9214790433246,37.13795515539531,동탄차고지,향남차고지
CL0000015486_june23_006,59,728루4739,병점차고지,06:59:15,06:59:15,07:45:14,08:02:27,0.0,45.983333333333334,17.216666666666665,63.2,06:00:00,15:00:00,8.0,212072.0,333630.0,126.9600855073618,37.21744666249897,127.03486065143314,37.27818676411697,봉담차고지,
CL0000047383_june23_013,61,728루4736,봉담차고지,07:01:20,07:35:21,07:38:16,08:04:14,34.016666666666666,2.9166666666666665,25.966666666666665,62.9,06:00:00,15:00:00,8.5,212071.0,352297.0,126.95870546399298,37.21630034903266,127.148786346761,37.271604963394616,봉담차고지,
CL0000004488_june23_011,39,714머8653,동탄차고지,07:00:37,07:31:54,07:46:20,08:05:16,31.283333333333335,14.433333333333334,18.933333333333334,64.65,06:00:00,15:00:00,8.0,212040.0,335626.0,126.94754358084955,37.21812727608269,127.04284379430746,37.299444985796086,봉담차고지,
