time,active,available,busy,waiting_total,waiting_unassigned,waiting_assigned,assigned_count,completed,lunch_total,lunch_blocked_idle,lunch_in_service,added_total,added_active
00:05:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:10:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:15:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:20:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:25:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:30:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:35:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:40:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:45:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:50:00,3,0,3,0,0,0,0,0,0,0,0,0,0
00:55:00,3,0,3,0,0,0,0,0,0,0,0,0,0
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
01:05:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:10:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:15:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:20:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:25:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:30:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:35:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:40:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:45:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:50:00,0,0,0,0,0,0,0,3,0,0,0,0,0
01:55:00,0,0,0,0,0,0,0,3,0,0,0,0,0
02:00:00,3,3,0,0,0,0,0,3,0,0,0,0,0
02:05:00,3,3,0,0,0,0,0,3,0,0,0,0,0
02:10:00,3,3,0,0,0,0,0,3,0,0,0,0,0
02:15:00,3,3,0,0,0,0,0,3,0,0,0,0,0
02:20:00,3,3,0,0,0,0,0,3,0,0,0,0,0
02:25:00,3,3,0,0,0,0,0,3,0,0,0,0,0
02:30:00,3,3,0,1,1,0,0,3,0,0,0,0,0
02:35:00,3,3,0,1,1,0,0,3,0,0,0,0,0
02:40:00,3,3,0,1,1,0,0,3,0,0,0,0,0
02:45:00,3,3,0,1,1,0,0,3,0,0,0,0,0
02:50:00,3,3,0,1,1,0,0,3,0,0,0,0,0
02:55:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:00:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:05:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:10:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:15:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:20:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:25:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:30:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:35:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:40:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:45:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:50:00,3,3,0,1,1,0,0,3,0,0,0,0,0
03:55:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:00:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:05:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:10:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:15:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:20:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:25:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:30:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:35:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:40:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:45:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:50:00,3,3,0,1,1,0,0,3,0,0,0,0,0
04:55:00,3,3,0,1,1,0,0,3,0,0,0,0,0
05:00:00,3,0,0,1,1,0,0,3,0,0,0,0,0
05:05:00,3,0,0,2,2,0,0,3,0,0,0,0,0
05:10:00,3,0,0,2,2,0,0,3,0,0,0,0,0
05:15:00,3,0,0,2,2,0,0,3,0,0,0,0,0
05:20:00,3,0,0,2,2,0,0,3,0,0,0,0,0
05:25:00,3,0,0,3,3,0,0,3,0,0,0,0,0
05:30:00,3,0,0,3,3,0,0,3,0,0,0,0,0
05:35:00,3,0,0,3,3,0,0,3,0,0,0,0,0
05:40:00,3,0,0,3,3,0,0,3,0,0,0,0,0
05:45:00,3,0,0,3,3,0,0,3,0,0,0,0,0
05:50:00,3,0,0,3,3,0,0,3,0,0,0,0,0
05:55:00,3,0,0,3,3,0,0,3,0,0,0,0,0
06:00:00,13,10,3,3,0,3,3,3,0,0,0,0,0
06:05:00,13,9,4,4,0,4,4,3,0,0,0,0,0
06:10:00,13,9,4,4,0,4,4,3,0,0,0,0,0
06:15:00,13,9,4,4,0,4,4,3,0,0,0,0,0
06:20:00,13,9,4,4,0,4,4,3,0,0,0,0,0
06:25:00,13,9,4,3,0,3,4,3,0,0,0,0,0
06:30:00,13,9,4,3,0,3,4,3,0,0,0,0,0
06:35:00,13,9,4,3,0,3,4,3,0,0,0,0,0
06:40:00,13,9,4,3,0,3,4,3,0,0,0,0,0
06:45:00,13,8,5,4,0,4,5,3,0,0,0,0,0
06:50:00,13,8,5,4,0,4,5,3,0,0,0,0,0
06:55:00,13,8,5,4,0,4,5,3,0,0,0,0,0
07:00:00,13,7,6,5,0,5,6,3,0,0,0,0,0
07:05:00,13,3,10,11,3,8,10,3,0,0,0,0,0
07:10:00,13,3,10,11,4,7,10,3,0,0,0,0,0
07:15:00,13,1,12,13,4,9,13,4,0,0,0,0,0
07:20:00,13,0,13,11,4,7,14,4,0,0,0,0,0
07:25:00,13,1,12,11,5,6,14,5,0,0,0,0,0
07:30:00,13,1,12,11,7,4,14,5,0,0,0,0,0
07:35:00,13,0,13,14,10,4,16,6,0,0,0,0,0
07:40:00,13,0,13,14,8,6,20,10,0,0,0,0,0
07:45:00,13,0,13,14,9,5,20,10,0,0,0,0,0
07:50:00,13,0,13,11,8,3,22,12,0,0,0,0,0
07:55:00,13,0,13,12,8,4,23,13,0,0,0,0,0
08:00:00,43,22,21,10,0,10,32,14,0,0,0,0,0
08:05:00,43,19,24,14,0,14,37,16,0,0,0,0,0
08:10:00,43,21,22,14,0,14,38,19,0,0,0,0,0
08:15:00,43,18,25,14,0,14,41,19,0,0,0,0,0
08:20:00,43,17,26,15,0,15,43,20,0,0,0,0,0
08:25:00,43,18,25,11,0,11,45,23,0,0,0,0,0
08:30:00,43,18,25,13,0,13,47,25,0,0,0,0,0
08:35:00,43,17,26,15,0,15,51,28,0,0,0,0,0
08:40:00,43,13,30,16,0,16,55,28,0,0,0,0,0
08:45:00,43,12,31,17,0,17,56,28,0,0,0,0,0
08:50:00,43,14,29,15,0,15,57,31,0,0,0,0,0
08:55:00,43,14,29,13,0,13,57,31,0,0,0,0,0
09:00:00,43,13,30,15,0,15,60,33,0,0,0,0,0
09:05:00,43,12,31,16,0,16,62,34,0,0,0,0,0
09:10:00,43,12,31,18,0,18,65,37,0,0,0,0,0
09:15:00,43,12,31,17,0,17,66,38,0,0,0,0,0
09:20:00,43,14,29,13,0,13,66,40,0,0,0,0,0
09:25:00,43,15,28,10,0,10,67,42,0,0,0,0,0
09:30:00,43,14,29,11,0,11,68,42,0,0,0,0,0
09:35:00,43,15,28,12,0,12,69,44,0,0,0,0,0
09:40:00,43,13,30,14,0,14,73,46,0,0,0,0,0
09:45:00,43,13,30,13,0,13,76,49,0,0,0,0,0
09:50:00,43,13,30,10,0,10,78,51,0,0,0,0,0
09:55:00,43,13,30,7,0,7,79,52,0,0,0,0,0
10:00:00,53,20,33,12,0,12,84,54,0,0,0,0,0
10:05:00,53,23,30,10,0,10,84,57,0,0,0,0,0
10:10:00,53,22,31,10,0,10,86,58,0,0,0,0,0
