run_label,w1,w2,w3,req_id,vehicle_id,wait_assign,wait_pickup,total_wait,dist_veh_pickup,pickup_rank,stops_before,stops_after,original_pt,cost_increase,detour_ratio,new_path_time,travel_time
BASELINE,0.7,0.3,0.0,demand_001,1,0.0,460.34,460.34,460.34,0,0,2,0.0,871.47,0.0,871.47,411.13
BASELINE,0.7,0.3,0.0,demand_002,2,0.0,47.24,47.24,47.24,0,0,2,0.0,234.6,0.0,234.6,187.36
BASELINE,0.7,0.3,0.0,demand_003,1,0.0,703.99,703.99,342.56,1,2,4,871.47,144.68,0.166,1016.15,177.44
BASELINE,0.7,0.3,0.0,demand_004,2,0.0,272.63,272.63,190.39,2,2,4,234.6,131.49,0.5605,366.1,93.46
BASELINE,0.7,0.3,0.0,demand_005,2,0.0,458.59,458.59,294.96,3,4,6,366.1,364.1,0.9946,730.2,271.61
BASELINE,0.7,0.3,0.0,demand_006,1,0.0,445.93,445.93,445.93,0,4,6,1016.15,194.12,0.191,1210.27,146.9
BASELINE,0.7,0.3,0.0,demand_007,2,0.0,157.97,157.97,105.24,1,6,8,730.2,93.1,0.1275,823.3,665.33
BASELINE,0.7,0.3,0.0,demand_008,1,0.0,1138.44,1138.44,272.93,5,6,8,1210.27,48.55,0.0401,1258.81,77.82
BASELINE,0.7,0.3,0.0,demand_009,1,0.0,65.73,65.73,65.73,0,8,10,1258.81,99.02,0.0787,1357.83,543.87
BASELINE,0.7,0.3,0.0,demand_010,1,0.0,622.72,622.72,383.15,2,10,12,1357.83,413.15,0.3043,1770.98,1148.26
BASELINE,0.7,0.3,0.0,demand_011,1,0.0,1041.54,1041.54,539.76,4,12,14,1770.98,669.77,0.3782,2440.75,662.4
BASELINE,0.7,0.3,0.0,demand_012,2,0.0,730.12,730.12,507.06,4,8,10,823.3,694.54,0.8436,1517.84,484.83
BASELINE,0.7,0.3,0.0,demand_013,2,0.0,772.96,772.96,549.9,4,10,12,1517.84,648.96,0.4276,2166.79,324.48
BASELINE,0.7,0.3,0.0,demand_014,1,0.0,474.63,474.63,402.88,1,14,16,2440.75,20.29,0.0083,2461.04,89.75
BASELINE,0.7,0.3,0.0,demand_015,2,0.0,1869.36,1869.36,300.42,8,12,14,2166.79,509.95,0.2353,2676.75,254.98
BASELINE,0.7,0.3,0.0,demand_016,2,0.0,461.35,461.35,317.29,2,14,16,2676.75,329.85,0.1232,3006.6,613.53
BASELINE,0.7,0.3,0.0,demand_017,1,0.0,246.47,246.47,246.01,1,16,18,2461.04,420.21,0.1707,2881.25,179.37
BASELINE,0.7,0.3,0.0,demand_018,1,0.0,2994.96,2994.96,207.42,17,18,20,2881.25,518.87,0.1801,3400.12,405.17
BASELINE,0.7,0.3,0.0,demand_019,2,0.0,1560.41,1560.41,131.15,8,16,18,3006.6,433.66,0.1442,3440.26,110.73
BASELINE,0.7,0.3,0.0,demand_020,1,0.0,469.33,469.33,272.93,2,20,22,3400.12,197.47,0.0581,3597.59,612.0
BASELINE,0.7,0.3,0.0,demand_021,2,0.0,1728.24,1728.24,134.77,8,18,20,3440.26,586.86,0.1706,4027.12,211.32
BASELINE,0.7,0.3,0.0,demand_022,2,0.0,4212.81,4212.81,198.08,20,20,22,4027.12,678.71,0.1685,4705.83,493.02
BASELINE,0.7,0.3,0.0,demand_023,1,0.0,2986.06,2986.06,99.36,19,22,24,3597.59,214.08,0.0595,3811.66,125.76
BASELINE,0.7,0.3,0.0,demand_024,1,0.0,3106.86,3106.86,389.24,18,24,26,3811.66,594.97,0.1561,4406.63,1254.5
BASELINE,0.7,0.3,0.0,demand_025,2,0.0,1541.66,1541.66,275.64,8,22,24,4705.83,211.59,0.045,4917.42,118.77
BASELINE,0.7,0.3,0.0,demand_026,1,0.0,168.1,168.1,36.64,1,26,28,4406.63,260.77,0.0592,4667.4,313.73
BASELINE,0.7,0.3,0.0,demand_027,2,0.0,142.96,142.96,142.96,1,24,26,4917.42,287.49,0.0585,5204.91,398.38
BASELINE,0.7,0.3,0.0,demand_028,2,0.0,4399.29,4399.29,211.51,22,26,28,5204.91,596.25,0.1146,5801.16,1401.87
BASELINE,0.7,0.3,0.0,demand_029,2,0.0,5204.96,5204.96,224.7,26,28,30,5801.16,243.13,0.0419,6044.29,572.34
BASELINE,0.7,0.3,0.0,demand_030,2,0.0,290.15,290.15,129.89,2,30,32,6044.29,237.54,0.0393,6281.83,187.53
BASELINE,0.7,0.3,0.0,demand_031,2,0.0,5676.08,5676.08,448.78,30,32,34,6281.83,334.42,0.0532,6616.25,654.83
BASELINE,0.7,0.3,0.0,demand_032,1,0.0,1135.26,1135.26,238.18,6,28,30,4667.4,538.76,0.1154,5206.16,274.81
BASELINE,0.7,0.3,0.0,demand_033,1,0.0,1083.7,1083.7,65.73,6,30,32,5206.16,230.13,0.0442,5436.3,1181.48
BASELINE,0.7,0.3,0.0,demand_034,1,0.0,5621.82,5621.82,371.61,30,32,34,5436.3,682.77,0.1256,6119.07,497.25
BASELINE,0.7,0.3,0.0,demand_035,1,0.0,724.38,724.38,519.64,2,34,36,6119.07,1273.57,0.2081,7392.64,329.84
BASELINE,0.7,0.3,0.0,demand_036,1,0.0,7298.4,7298.4,33.78,34,36,38,7392.64,608.86,0.0824,8001.5,190.05
BASELINE,0.7,0.3,0.0,demand_037,2,0.0,6219.5,6219.5,196.79,32,34,36,6616.25,190.8,0.0288,6807.05,91.67
BASELINE,0.7,0.3,0.0,demand_038,2,0.0,5084.91,5084.91,200.83,28,36,38,6807.05,17.14,0.0025,6824.19,141.52
BASELINE,0.7,0.3,0.0,demand_039,2,0.0,6738.62,6738.62,506.26,36,38,40,6824.19,809.94,0.1187,7634.13,895.51
BASELINE,0.7,0.3,0.0,demand_040,2,0.0,5726.06,5726.06,435.7,32,40,42,7634.13,402.61,0.0527,8036.74,178.35
BASELINE,0.7,0.3,0.0,demand_042,2,0.0,2055.61,2055.61,342.56,12,42,44,8036.74,311.52,0.0388,8348.27,215.47
BASELINE,0.7,0.3,0.0,demand_043,2,0.0,6112.85,6112.85,428.49,34,44,46,8348.27,449.91,0.0539,8798.18,259.23
BASELINE,0.7,0.3,0.0,demand_044,2,0.0,4505.77,4505.77,116.64,22,46,48,8798.18,1137.31,0.1293,9935.49,372.95
BASELINE,0.7,0.3,0.0,demand_045,1,0.0,3806.33,3806.33,438.7,18,38,40,8001.5,445.46,0.0557,8446.96,213.28
BASELINE,0.7,0.3,0.0,demand_046,1,0.0,207.1,207.1,75.63,1,40,42,8446.96,99.34,0.0118,8546.3,58.43
BASELINE,0.7,0.3,0.0,demand_047,2,0.0,8746.77,8746.77,58.46,44,48,50,9935.49,323.07,0.0325,10258.57,110.08
BASELINE,0.7,0.3,0.0,demand_048,1,0.0,3154.12,3154.12,148.02,14,42,44,8546.3,385.62,0.0451,8931.93,564.13
BASELINE,0.7,0.3,0.0,demand_049,1,0.0,7085.36,7085.36,118.51,36,44,46,8931.93,216.07,0.0242,9147.99,125.36
BASELINE,0.7,0.3,0.0,demand_050,1,0.0,6868.76,6868.76,324.85,34,46,48,9147.99,1297.5,0.1418,10445.49,715.92
BASELINE,0.7,0.3,0.0,demand_051,1,0.0,10552.08,10552.08,148.02,47,48,50,10445.49,510.63,0.0489,10956.12,7802.01
"(0.8,0,0.2)",0.8,0,0.2,demand_001,1,0.0,460.34,460.34,460.34,0,0,2,0.0,871.47,0.0,871.47,411.13
"(0.8,0,0.2)",0.8,0,0.2,demand_002,1,0.0,47.24,47.24,47.24,0,2,4,871.47,10.91,0.0125,882.38,734.92
"(0.8,0,0.2)",0.8,0,0.2,demand_003,1,0.0,703.99,703.99,342.56,2,4,6,882.38,184.35,0.2089,1066.73,177.44
"(0.8,0,0.2)",0.8,0,0.2,demand_004,1,0.0,1004.54,1004.54,190.39,5,6,8,1066.73,55.61,0.0521,1122.33,117.8
"(0.8,0,0.2)",0.8,0,0.2,demand_005,2,0.0,294.96,294.96,294.96,0,0,2,0.0,566.57,0.0,566.57,271.61
"(0.8,0,0.2)",0.8,0,0.2,demand_006,1,0.0,445.93,445.93,445.93,1,8,10,1122.33,194.12,0.173,1316.45,146.9
"(0.8,0,0.2)",0.8,0,0.2,demand_007,2,0.0,105.24,105.24,105.24,0,2,4,566.57,172.23,0.304,738.8,633.56
"(0.8,0,0.2)",0.8,0,0.2,demand_008,2,0.0,364.27,364.27,272.93,1,4,6,738.8,165.69,0.2243,904.49,293.71
"(0.8,0,0.2)",0.8,0,0.2,demand_009,1,0.0,65.73,65.73,65.73,0,10,12,1316.45,134.63,0.1023,1451.08,579.49
"(0.8,0,0.2)",0.8,0,0.2,demand_010,2,0.0,383.15,383.15,383.15,0,6,8,904.49,777.96,0.8601,1682.45,388.98
"(0.8,0,0.2)",0.8,0,0.2,demand_011,2,0.0,539.76,539.76,539.76,0,8,10,1682.45,564.72,0.3357,2247.18,531.57
"(0.8,0,0.2)",0.8,0,0.2,demand_012,2,0.0,507.06,507.06,507.06,0,10,12,2247.18,272.2,0.1211,2519.38,1589.28
"(0.8,0,0.2)",0.8,0,0.2,demand_013,1,0.0,755.4,755.4,549.9,5,12,14,1451.08,150.42,0.1037,1601.5,324.48
"(0.8,0,0.2)",0.8,0,0.2,demand_014,1,0.0,799.29,799.29,402.88,4,14,16,1601.5,293.93,0.1835,1895.43,60.66
"(0.8,0,0.2)",0.8,0,0.2,demand_015,1,0.0,300.42,300.42,300.42,0,16,18,1895.43,668.15,0.3525,2563.58,455.98
"(0.8,0,0.2)",0.8,0,0.2,demand_016,2,0.0,317.29,317.29,317.29,0,12,14,2519.38,105.15,0.0417,2624.53,280.01
"(0.8,0,0.2)",0.8,0,0.2,demand_017,1,0.0,479.78,479.78,246.01,1,18,20,2563.58,358.73,0.1399,2922.31,179.37
"(0.8,0,0.2)",0.8,0,0.2,demand_018,2,0.0,207.42,207.42,207.42,0,14,16,2624.53,420.31,0.1601,3044.84,305.61
"(0.8,0,0.2)",0.8,0,0.2,demand_019,2,0.0,445.58,445.58,131.15,1,16,18,3044.84,103.64,0.034,3148.48,110.73
"(0.8,0,0.2)",0.8,0,0.2,demand_020,2,0.0,587.94,587.94,272.93,2,18,20,3148.48,290.38,0.0922,3438.86,1298.82
"(0.8,0,0.2)",0.8,0,0.2,demand_021,1,0.0,970.54,970.54,134.77,4,20,22,2922.31,303.89,0.104,3226.2,211.32
"(0.8,0,0.2)",0.8,0,0.2,demand_022,2,0.0,745.41,745.41,198.08,4,20,22,3438.86,882.4,0.2566,4321.26,493.02
"(0.8,0,0.2)",0.8,0,0.2,demand_023,1,0.0,99.36,99.36,99.36,0,22,24,3226.2,292.87,0.0908,3519.07,526.79
"(0.8,0,0.2)",0.8,0,0.2,demand_024,1,0.0,389.24,389.24,389.24,0,24,26,3519.07,644.95,0.1833,4164.02,301.09
"(0.8,0,0.2)",0.8,0,0.2,demand_025,1,0.0,275.64,275.64,275.64,0,26,28,4164.02,549.52,0.132,4713.54,1300.84
"(0.8,0,0.2)",0.8,0,0.2,demand_026,1,0.0,3021.36,3021.36,36.64,14,28,30,4713.54,408.45,0.0867,5121.99,251.55
"(0.8,0,0.2)",0.8,0,0.2,demand_027,2,0.0,1613.49,1613.49,142.96,6,22,24,4321.26,613.97,0.1421,4935.23,761.39
"(0.8,0,0.2)",0.8,0,0.2,demand_028,1,0.0,5046.55,5046.55,211.51,28,30,32,5121.99,318.04,0.0621,5440.02,239.76
"(0.8,0,0.2)",0.8,0,0.2,demand_030,1,0.0,129.89,129.89,129.89,0,32,34,5440.02,426.79,0.0785,5866.81,986.25
"(0.8,0,0.2)",0.8,0,0.2,demand_031,1,0.0,448.78,448.78,448.78,0,34,36,5866.81,1298.07,0.2213,7164.89,528.95
"(0.8,0,0.2)",0.8,0,0.2,demand_032,2,0.0,4821.29,4821.29,238.18,22,24,26,4935.23,209.75,0.0425,5144.98,323.68
"(0.8,0,0.2)",0.8,0,0.2,demand_033,2,0.0,4890.92,4890.92,65.73,22,26,28,5144.98,351.31,0.0683,5496.29,163.51
"(0.8,0,0.2)",0.8,0,0.2,demand_034,1,0.0,4099.2,4099.2,371.61,12,36,38,7164.89,665.58,0.0929,7830.46,437.73
"(0.8,0,0.2)",0.8,0,0.2,demand_035,2,0.0,519.64,519.64,519.64,1,28,30,5496.29,1465.59,0.2667,6961.89,932.45
"(0.8,0,0.2)",0.8,0,0.2,demand_036,1,0.0,1264.29,1264.29,33.78,2,38,40,7830.46,77.82,0.0099,7908.28,619.84
"(0.8,0,0.2)",0.8,0,0.2,demand_037,1,0.0,869.3,869.3,196.79,1,40,42,7908.28,193.78,0.0245,8102.06,91.67
"(0.8,0,0.2)",0.8,0,0.2,demand_038,2,0.0,2213.76,2213.76,200.83,6,30,32,6961.89,283.03,0.0407,7244.92,141.52
"(0.8,0,0.2)",0.8,0,0.2,demand_039,1,0.0,3922.33,3922.33,506.26,14,42,44,8102.06,661.12,0.0816,8763.18,406.14
"(0.8,0,0.2)",0.8,0,0.2,demand_040,1,0.0,7453.44,7453.44,435.7,32,44,46,8763.18,719.47,0.0821,9482.66,504.98
